CUSTOMERNAME,ORDERNUMBER,PRODUCTCODE,ORDERDATE,QUANTITYORDERED,PRICEEACH,SALES,ORDERLINENUMBER,STATUS,DEALSIZE,CUSTOMER_ID,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,STATUS_ID
Royale Belge,10338,S18_3856,2004-11-22,45,100.0,5526.45,2,Shipped,Medium,91,(071) 23 67 2555,"Boulevard Tirou, 255",,Charleroi,,B-6000,Belgium,EMEA,Cartrain,Pascale,1
"Stylish Desk Decors, Co.",10351,S18_3856,2004-12-03,20,100.0,3374.6,2,Shipped,Medium,50,(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,1
"Oulu Toy Supplies, Inc.",10373,S18_3856,2005-01-31,50,60.49,3024.5,6,Shipped,Medium,61,981-443655,Torikatu 38,,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko,1
Euro Shopping Channel,10386,S18_3856,2005-03-01,22,57.55,1266.1,6,Resolved,Small,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,6
Reims Collectables,10398,S18_3856,2005-03-30,45,100.0,4811.85,17,Shipped,Medium,2,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,1
The Sharp Gifts Warehouse,10400,S18_3856,2005-04-01,58,100.0,7307.42,6,Shipped,Large,62,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,1
"Australian Collectables, Ltd",10415,S18_3856,2005-05-09,51,100.0,6209.25,5,Disputed,Medium,88,61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,2
Euro Shopping Channel,10104,S18_4027,2003-01-31,38,100.0,5348.5,3,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
"Dragon Souveniers, Ltd.",10117,S18_4027,2003-04-16,22,100.0,2780.58,12,Shipped,Small,27,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,1
Muscle Machine Inc,10127,S18_4027,2003-06-03,25,100.0,3447.0,5,Shipped,Medium,75,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,1
Mini Gifts Distributors Ltd.,10142,S18_4027,2003-08-08,24,100.0,3791.52,15,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
"Australian Gift Network, Co",10152,S18_4027,2003-09-25,35,100.0,4524.1,1,Shipped,Medium,29,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,1
"Dragon Souveniers, Ltd.",10165,S18_4027,2003-10-22,28,100.0,3337.6,6,Shipped,Medium,27,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,1
L'ordine Souveniers,10176,S18_4027,2003-11-06,36,100.0,5532.12,5,Shipped,Medium,71,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,1
Mini Creations Ltd.,10185,S18_4027,2003-11-14,39,100.0,5096.91,16,Shipped,Medium,51,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,,Tam,Wing C,1
Super Scale Inc.,10196,S18_4027,2003-11-26,27,100.0,4537.08,8,Shipped,Medium,35,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,1
Diecast Collectables,10207,S18_4027,2003-12-09,40,100.0,6146.8,1,Shipped,Medium,65,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA,,Franco,Valarie,1
"Clover Collections, Co.",10220,S18_4027,2004-02-12,50,100.0,8258.0,5,Shipped,Large,76,+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,EMEA,Cassidy,Dean,1
"Blauer See Auto, Co.",10230,S18_4027,2004-03-15,42,100.0,7238.28,3,Shipped,Large,73,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,1
Suominen Souveniers,10247,S18_4027,2004-05-05,48,100.0,6756.0,5,Shipped,Medium,74,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,1
Diecast Classics Inc.,10272,S18_4027,2004-07-20,25,100.0,3734.0,5,Shipped,Medium,19,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,1
Mini Gifts Distributors Ltd.,10282,S18_4027,2004-08-20,31,100.0,4674.8,8,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Land of Toys Inc.,10292,S18_4027,2004-09-08,44,100.0,7140.76,2,Shipped,Large,1,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,1
"AV Stores, Co.",10306,S18_4027,2004-10-14,23,100.0,3600.65,16,Shipped,Medium,78,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,1
Heintze Collectables,10314,S18_4027,2004-10-22,29,100.0,4206.74,8,Shipped,Medium,79,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,1
Vitachrome Inc.,10324,S18_4027,2004-11-05,49,100.0,5379.71,13,Shipped,Medium,12,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,1
Classic Legends Inc.,10337,S18_4027,2004-11-21,36,100.0,5679.36,3,Shipped,Medium,28,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,1
Muscle Machine Inc,10349,S18_4027,2004-12-01,34,100.0,4394.84,5,Shipped,Medium,75,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,1
Euro Shopping Channel,10358,S18_4027,2004-12-10,25,100.0,2528.25,13,Shipped,Small,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
"Tokyo Collectables, Ltd",10372,S18_4027,2005-01-26,48,100.0,7031.52,6,Shipped,Large,36,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,1
Euro Shopping Channel,10383,S18_4027,2005-02-22,38,100.0,5340.9,1,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Euro Shopping Channel,10394,S18_4027,2005-03-15,37,100.0,6376.58,1,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Gift Depot Inc.,10413,S18_4027,2005-05-05,49,100.0,6896.75,5,Shipped,Medium,14,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,1
Online Diecast Creations Co.,10100,S18_4409,2003-01-06,22,86.51,1903.22,4,Shipped,Small,41,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,1
"AV Stores, Co.",10110,S18_4409,2003-03-18,28,89.27,2499.56,8,Shipped,Small,78,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,1
Signal Gift Stores,10124,S18_4409,2003-05-21,36,85.59,3081.24,7,Shipped,Medium,85,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA,,King,Sue,1
"Anna's Decorations, Ltd",10148,S18_4409,2003-09-11,34,100.0,3598.22,1,Shipped,Medium,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Corporate Gift Ideas Co.,10162,S18_4409,2003-10-18,39,100.0,3912.09,10,Shipped,Medium,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
Rovelli Gifts,10173,S18_4409,2003-11-05,21,75.46,1584.66,14,Shipped,Small,87,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,1
Mini Gifts Distributors Ltd.,10182,S18_4409,2003-11-12,36,100.0,3942.72,11,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
"Australian Collectables, Ltd",10193,S18_4409,2003-11-21,24,97.55,2341.2,15,Shipped,Small,88,61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,1
Muscle Machine Inc,10204,S18_4409,2003-12-02,29,85.59,2482.11,5,Shipped,Small,75,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,1
"Double Decker Gift Stores, Ltd",10213,S18_4409,2004-01-22,38,94.79,3602.02,1,Shipped,Medium,53,(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,UK,EMEA,Hardy,Thomas,1
"Saveley & Henriot, Co.",10227,S18_4409,2004-03-02,34,100.0,3566.94,11,Shipped,Medium,31,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,1
Mini Caravy,10241,S18_4409,2004-04-13,42,90.19,3787.98,3,Shipped,Medium,84,88.60.1555,"24, place Kluber",,Strasbourg,,67000,France,EMEA,Citeaux,Frederique,1
Amica Models & Co.,10280,S18_4409,2004-08-17,35,100.0,3704.05,17,Shipped,Medium,37,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,1
Handji Gifts& Co,10288,S18_4409,2004-09-01,35,80.99,2834.65,6,Shipped,Small,66,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,1
"UK Collectables, Ltd.",10302,S18_4409,2003-10-06,38,89.27,3392.26,2,Shipped,Medium,23,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,1
Euro Shopping Channel,10311,S18_4409,2004-10-16,41,81.91,3358.31,1,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
"AV Stores, Co.",10332,S18_4409,2004-11-17,50,100.0,7310.0,2,Shipped,Large,78,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,1
Marseille Mini Autos,10344,S18_4409,2004-11-25,21,100.0,2203.11,4,Shipped,Small,68,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France,EMEA,Lebihan,Laurence,1
Toys4GrownUps.com,10367,S18_4409,2005-01-12,43,62.72,2696.96,8,Resolved,Small,4,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,6
Euro Shopping Channel,10380,S18_4409,2005-02-16,32,100.0,3376.64,1,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
The Sharp Gifts Warehouse,10407,S18_4409,2005-04-22,6,90.19,541.14,3,On Hold,Small,62,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,5
Souveniers And Things Co.,10420,S18_4409,2005-05-29,66,92.95,6134.7,6,In Process,Medium,21,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,3
Danish Wholesale Imports,10105,S18_4522,2003-02-11,41,82.5,3382.5,10,Shipped,Medium,49,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,1
"Dragon Souveniers, Ltd.",10117,S18_4522,2003-04-16,23,97.42,2240.66,4,Shipped,Small,27,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,1
Euro Shopping Channel,10128,S18_4522,2003-06-06,43,92.16,3962.88,1,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Mini Gifts Distributors Ltd.,10142,S18_4522,2003-08-08,24,70.22,1685.28,7,Shipped,Small,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Euro Shopping Channel,10153,S18_4522,2003-09-28,22,83.38,1834.36,6,Shipped,Small,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
FunGiftIdeas.com,10166,S18_4522,2003-10-21,26,73.73,1916.98,1,Shipped,Small,22,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,1
CAF Imports,10177,S18_4522,2003-11-07,35,74.6,2611.0,8,Shipped,Small,77,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",,Madrid,,28023,Spain,EMEA,Fernandez,Jesus,1
Mini Creations Ltd.,10185,S18_4522,2003-11-14,47,77.24,3630.28,8,Shipped,Medium,51,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,,Tam,Wing C,1
Enaco Distributors,10197,S18_4522,2003-11-26,50,100.0,5090.5,14,Shipped,Medium,54,(93) 203 4555,"Rambla de Catalu§a, 23",,Barcelona,,8022,Spain,EMEA,Saavedra,Eduardo,1
"Saveley & Henriot, Co.",10208,S18_4522,2004-01-02,45,87.77,3949.65,8,Shipped,Medium,31,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,1
Petit Auto,10221,S18_4522,2004-02-18,39,89.53,3491.67,2,Shipped,Medium,57,(02) 5554 67,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine,1
giftsbymail.co.uk,10232,S18_4522,2004-03-20,23,89.53,2059.19,5,Shipped,Small,60,(198) 555-8888,Garden House Crowther Way,,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen,1
Land of Toys Inc.,10248,S18_4522,2004-05-07,42,75.48,3170.16,11,Cancelled,Medium,1,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,4
Quebec Home Shopping Network,10261,S18_4522,2004-06-17,20,89.53,1790.6,9,Shipped,Small,44,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,1
Petit Auto,10273,S18_4522,2004-07-21,33,71.09,2345.97,12,Shipped,Small,57,(02) 5554 67,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine,1
"Royal Canadian Collectables, Ltd.",10283,S18_4522,2004-08-20,34,100.0,3580.88,14,Shipped,Medium,58,(604) 555-4555,23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada,,Lincoln,Elizabeth,1
Amica Models & Co.,10293,S18_4522,2004-09-09,49,100.0,4946.06,3,Shipped,Medium,37,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,1
"AV Stores, Co.",10306,S18_4522,2004-10-14,39,90.4,3525.6,8,Shipped,Medium,78,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,1
La Rochelle Gifts,10315,S18_4522,2004-10-29,36,100.0,3602.16,7,Shipped,Medium,15,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,1
"Volvo Model Replicas, Co",10326,S18_4522,2004-11-09,50,86.01,4300.5,5,Shipped,Medium,25,0921-12 3555,BerguvsvÑgen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,1
Classic Legends Inc.,10337,S18_4522,2004-11-21,29,100.0,4498.19,2,Shipped,Medium,28,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,1
Euro Shopping Channel,10350,S18_4522,2004-12-02,30,100.0,3023.1,3,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
"Tokyo Collectables, Ltd",10372,S18_4522,2005-01-26,41,86.89,3562.49,7,Shipped,Medium,36,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,1
Euro Shopping Channel,10383,S18_4522,2005-02-22,28,58.58,1640.24,7,Shipped,Small,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Mini Gifts Distributors Ltd.,10396,S18_4522,2005-03-23,45,100.0,4739.4,5,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Gifts4AllAges.com,10414,S18_4522,2005-05-06,16,75.48,1207.68,11,On Hold,Small,59,6175559555,8616 Spinnaker Dr.,,Boston,MA,51003,USA,,Yoshido,Juri,5
Baane Mini Imports,10103,S18_4600,2003-01-29,36,100.0,4228.2,5,Shipped,Medium,18,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,1
"La Corne D'abondance, Co.",10114,S18_4600,2003-04-01,41,100.0,4815.45,9,Shipped,Medium,63,(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France,EMEA,Bertrand,Marie,1
"Corrida Auto Replicas, Ltd",10126,S18_4600,2003-05-28,50,100.0,7083.0,5,Shipped,Large,26,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart°n,1
Technics Stores Inc.,10140,S18_4600,2003-07-24,40,100.0,4601.2,5,Shipped,Medium,6,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,1
"Dragon Souveniers, Ltd.",10150,S18_4600,2003-09-19,49,100.0,6467.02,2,Shipped,Medium,27,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,1
Mini Auto Werke,10164,S18_4600,2003-10-21,45,100.0,5012.55,3,Resolved,Medium,64,7675-3555,Kirchgasse 6,,Graz,,8010,Austria,EMEA,Mendel,Roland,6
"Stylish Desk Decors, Co.",10175,S18_4600,2003-11-06,47,100.0,5121.59,10,Shipped,Medium,50,(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,1
"Classic Gift Ideas, Inc",10183,S18_4600,2003-11-13,21,100.0,2441.04,2,Shipped,Small,30,2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,1
"Saveley & Henriot, Co.",10194,S18_4600,2003-11-25,32,100.0,4262.08,5,Shipped,Medium,31,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,1
Diecast Collectables,10207,S18_4600,2003-12-09,47,100.0,6658.02,16,Shipped,Medium,65,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA,,Franco,Valarie,1
Handji Gifts& Co,10217,S18_4600,2004-02-04,38,100.0,4509.08,5,Shipped,Medium,66,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,1
Mini Gifts Distributors Ltd.,10229,S18_4600,2004-03-11,41,100.0,4716.23,10,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Super Scale Inc.,10245,S18_4600,2004-05-04,21,100.0,2390.22,3,Shipped,Small,35,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,1
Handji Gifts& Co,10259,S18_4600,2004-06-15,41,100.0,4666.62,13,Shipped,Medium,66,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,1
Souveniers And Things Co.,10270,S18_4600,2004-07-19,38,100.0,5383.08,3,Shipped,Medium,21,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,1
Diecast Classics Inc.,10281,S18_4600,2004-08-19,25,99.29,2482.25,10,Shipped,Small,19,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,1
Scandinavian Gift Ideas,10291,S18_4600,2004-09-08,48,100.0,5288.64,5,Shipped,Medium,38,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,1
Marta's Replicas Co.,10305,S18_4600,2004-10-13,22,99.29,2184.38,14,Shipped,Small,16,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,1
Canadian Gift Exchange Network,10313,S18_4600,2004-10-22,28,100.0,2881.76,8,Shipped,Small,32,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,1
"Blauer See Auto, Co.",10323,S18_4600,2004-11-05,47,100.0,6203.06,1,Shipped,Medium,73,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,1
"Volvo Model Replicas, Co",10334,S18_4600,2004-11-19,49,100.0,6763.47,4,On Hold,Medium,25,0921-12 3555,BerguvsvÑgen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,5
"Australian Collectors, Co.",10347,S18_4600,2004-11-29,45,100.0,5884.65,4,Shipped,Medium,11,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,1
Mini Gifts Distributors Ltd.,10357,S18_4600,2004-12-10,28,100.0,3559.64,2,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
"Anna's Decorations, Ltd",10370,S18_4600,2005-01-20,29,57.53,1668.37,6,Shipped,Small,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Mini Gifts Distributors Ltd.,10382,S18_4600,2005-02-17,39,100.0,4890.6,1,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Quebec Home Shopping Network,10411,S18_4600,2005-05-01,46,100.0,5235.72,3,Shipped,Medium,44,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,1
La Rochelle Gifts,10425,S18_4600,2005-05-31,38,100.0,4325.16,13,In Process,Medium,15,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,3
Baane Mini Imports,10103,S18_4668,2003-01-29,41,47.29,1938.89,9,Shipped,Small,18,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,1
Mini Gifts Distributors Ltd.,10113,S18_4668,2003-03-26,50,49.81,2490.5,3,Shipped,Small,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
"Corrida Auto Replicas, Ltd",10126,S18_4668,2003-05-28,43,53.83,2314.69,9,Shipped,Small,26,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart°n,1
Technics Stores Inc.,10140,S18_4668,2003-07-24,29,43.27,1254.83,9,Shipped,Small,6,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,1
"Dragon Souveniers, Ltd.",10150,S18_4668,2003-09-19,30,42.76,1282.8,6,Shipped,Small,27,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,1
Mini Auto Werke,10164,S18_4668,2003-10-21,25,53.83,1345.75,7,Resolved,Small,64,7675-3555,Kirchgasse 6,,Graz,,8010,Austria,EMEA,Mendel,Roland,6
"Australian Gift Network, Co",10174,S18_4668,2003-11-06,49,44.78,2194.22,2,Shipped,Small,29,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,1
"Classic Gift Ideas, Inc",10183,S18_4668,2003-11-13,40,49.3,1972.0,6,Shipped,Small,30,2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,1
"Saveley & Henriot, Co.",10194,S18_4668,2003-11-25,41,44.78,1835.98,9,Shipped,Small,31,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,1
Canadian Gift Exchange Network,10206,S18_4668,2003-12-05,21,53.33,1119.93,4,Shipped,Small,32,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,1
West Coast Collectables Co.,10215,S18_4668,2004-01-29,46,45.28,2082.88,1,Shipped,Small,33,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,,Thompson,Steve,1
Mini Gifts Distributors Ltd.,10229,S18_4668,2004-03-11,39,40.25,1569.75,14,Shipped,Small,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Super Scale Inc.,10245,S18_4668,2004-05-04,45,59.87,2694.15,7,Shipped,Small,35,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,1
"Tokyo Collectables, Ltd",10258,S18_4668,2004-06-15,21,59.87,1257.27,4,Shipped,Small,36,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,1
Souveniers And Things Co.,10270,S18_4668,2004-07-19,44,58.36,2567.84,7,Shipped,Small,21,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,1
Diecast Classics Inc.,10281,S18_4668,2004-08-19,44,59.87,2634.28,14,Shipped,Small,19,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,1
Scandinavian Gift Ideas,10291,S18_4668,2004-09-08,29,51.82,1502.78,9,Shipped,Small,38,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,1
Auto Assoc. & Cie.,10304,S18_4668,2004-10-11,34,49.3,1676.2,4,Shipped,Small,39,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,1
Mini Gifts Distributors Ltd.,10312,S18_4668,2004-10-21,39,56.85,2217.15,1,Shipped,Small,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Vitachrome Inc.,10324,S18_4668,2004-11-05,38,100.0,6832.02,6,Shipped,Medium,12,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,1
Mini Wheels Co.,10333,S18_4668,2004-11-18,24,79.86,1916.64,8,Shipped,Small,9,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,1
"Corrida Auto Replicas, Ltd",10348,S18_4668,2004-11-01,29,100.0,7110.8,6,Shipped,Large,26,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart°n,1
Euro Shopping Channel,10358,S18_4668,2004-12-10,30,100.0,5302.8,8,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
"Anna's Decorations, Ltd",10370,S18_4668,2005-01-20,20,100.0,2730.0,2,Shipped,Small,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Mini Gifts Distributors Ltd.,10382,S18_4668,2005-02-17,39,100.0,7827.3,2,Shipped,Large,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
